Itemset,Frekuensi,Persentase (%)
"Alat Tulis, Aksesoris Buku, Buku Anak-Anak",92,19.13
"Alat Tulis, Majalah Berita, Buku Anak-Anak",71,14.76
"Alat Tulis, Buku Biografi, Buku Anak-Anak",70,14.55
"Alat Tulis, Buku Anak-Anak, Buku Sejarah",70,14.55
"Alat Tulis, Aksesoris Buku, Majalah Seni",68,14.14
"Alat Tulis, Aksesoris Buku, Buku Fiksi",68,14.14
"Alat Tulis, Novel Romansa, Buku Anak-Anak",68,14.14
"Alat Tulis, Aksesoris Buku, Novel Romansa",68,14.14
"Alat Tulis, Buku Anak-Anak, Novel Misteri",67,13.93
"Alat Tulis, Majalah Seni, Buku Anak-Anak",66,13.72
"Alat Tulis, Buku Anak-Anak, Buku Fiksi",65,13.51
"Alat Tulis, Aksesoris Buku, Buku Biografi",64,13.31
"Alat Tulis, Majalah Fashion, Buku Anak-Anak",63,13.1
"Alat Tulis, Majalah Seni, Majalah Fashion",63,13.1
"Alat Tulis, Buku Anak-Anak, Novel Fiksi Ilmiah",63,13.1
"Alat Tulis, Aksesoris Buku, Majalah Fashion",60,12.47
"Alat Tulis, Majalah Seni, Buku Sejarah",60,12.47
"Alat Tulis, Aksesoris Buku, Novel Misteri",59,12.27
"Alat Tulis, Majalah Seni, Buku Biografi",58,12.06
"Alat Tulis, Novel Romansa, Novel Misteri",58,12.06
"Alat Tulis, Majalah Seni, Novel Misteri",57,11.85
"Aksesoris Buku, Majalah Seni, Majalah Fashion",57,11.85
"Alat Tulis, Buku Biografi, Novel Romansa",56,11.64
"Alat Tulis, Majalah Fashion, Majalah Berita",56,11.64
"Alat Tulis, Aksesoris Buku, Buku Sejarah",56,11.64
"Alat Tulis, Majalah Seni, Majalah Berita",55,11.43
"Alat Tulis, Majalah Berita, Buku Sejarah",55,11.43
"Alat Tulis, Majalah Seni, Novel Romansa",55,11.43
"Alat Tulis, Majalah Fashion, Novel Fiksi Ilmiah",55,11.43
"Alat Tulis, Novel Romansa, Buku Fiksi",55,11.43
"Alat Tulis, Majalah Berita, Buku Fiksi",54,11.23
"Alat Tulis, Aksesoris Buku, Majalah Berita",54,11.23
"Alat Tulis, Novel Romansa, Buku Sejarah",53,11.02
"Alat Tulis, Buku Biografi, Novel Fiksi Ilmiah",53,11.02
"Alat Tulis, Majalah Berita, Novel Fiksi Ilmiah",52,10.81
"Alat Tulis, Majalah Fashion, Novel Misteri",52,10.81
"Alat Tulis, Aksesoris Buku, Novel Fiksi Ilmiah",52,10.81
"Alat Tulis, Novel Misteri, Buku Fiksi",52,10.81
"Alat Tulis, Buku Biografi, Novel Misteri",52,10.81
