Itemset,Frekuensi_3itemset,Frekuensi_2itemset,Confidence (%)
"Alat Tulis, Aksesoris Buku, Buku Anak-Anak",92,139,66.19
"Alat Tulis, Buku Anak-Anak, Aksesoris Buku",92,162,56.79
"Aksesoris Buku, Buku Anak-Anak, Alat Tulis",92,109,84.4
"Alat Tulis, Majalah Berita, Buku Anak-Anak",71,119,59.66
"Alat Tulis, Buku Anak-Anak, Majalah Berita",71,162,43.83
"Majalah Berita, Buku Anak-Anak, Alat Tulis",71,85,83.53
"Alat Tulis, Buku Anak-Anak, Buku Sejarah",70,162,43.21
"Alat Tulis, Buku Sejarah, Buku Anak-Anak",70,125,56.0
"Buku Anak-Anak, Buku Sejarah, Alat Tulis",70,75,93.33
"Alat Tulis, Buku Biografi, Buku Anak-Anak",70,117,59.83
"Alat Tulis, Buku Anak-Anak, Buku Biografi",70,162,43.21
"Buku Biografi, Buku Anak-Anak, Alat Tulis",70,81,86.42
"Alat Tulis, Aksesoris Buku, Majalah Seni",68,139,48.92
"Alat Tulis, Majalah Seni, Aksesoris Buku",68,129,52.71
"Aksesoris Buku, Majalah Seni, Alat Tulis",68,103,66.02
"Alat Tulis, Aksesoris Buku, Buku Fiksi",68,139,48.92
"Alat Tulis, Buku Fiksi, Aksesoris Buku",68,113,60.18
"Aksesoris Buku, Buku Fiksi, Alat Tulis",68,99,68.69
"Alat Tulis, Novel Romansa, Buku Anak-Anak",68,120,56.67
"Alat Tulis, Buku Anak-Anak, Novel Romansa",68,162,41.98
"Novel Romansa, Buku Anak-Anak, Alat Tulis",68,78,87.18
"Alat Tulis, Aksesoris Buku, Novel Romansa",68,139,48.92
"Alat Tulis, Novel Romansa, Aksesoris Buku",68,120,56.67
"Aksesoris Buku, Novel Romansa, Alat Tulis",68,110,61.82
"Alat Tulis, Buku Anak-Anak, Novel Misteri",67,162,41.36
"Alat Tulis, Novel Misteri, Buku Anak-Anak",67,115,58.26
"Buku Anak-Anak, Novel Misteri, Alat Tulis",67,76,88.16
"Alat Tulis, Majalah Seni, Buku Anak-Anak",66,129,51.16
"Alat Tulis, Buku Anak-Anak, Majalah Seni",66,162,40.74
"Majalah Seni, Buku Anak-Anak, Alat Tulis",66,82,80.49
